,0,1
0,21.91,snowmap_20160309_ads_100_extent_maskiert_nosnow0_noausreisser
1,0.9,HS_Saflischpass_20220512_1m_epsg2056
2,0.45,HS_Laucherenalp_20220511_1m_epsg2056
3,21.71,snowmap_2014_ads_100_extent_maskiert_nosnow0_noausreisser
4,32.22,HS_Davos_20200406_2m_epsg2056
5,29.76,HS_Davos_20211604_2m_epsg2056
6,25.14,snowmap_2013_ads_80_extent_maskiert_nosnow0_noausreisser
7,25.3,snowmap_2012_ads_80_extent_maskiert_nosnow0_noausreisser
8,21.86,snowmap_2015_ads_100_extent_maskiert_nosnow0_noausreisser
9,22.16,snowmap_20160126_ads_100_extent_maskiert_nosnow0_noausreisser
10,1.31,HS_c_20220223_1m_epsg2056
11,73.84,HS_Davos_20170316_2m_epsg2056
12,6.89,HS_Davos_20180411_2m_epsg2056
13,21.99,snowmap_20160420_ads_100_extent_maskiert_nosnow0_noausreisser
14,0.23,HS_Laucherenalp_20220224_2m_epsg2056
15,24.5,snowmap_2010_ads_80_extent_maskiert_nosnow0_noausreisser
